match_id,date,time,tour,tournament,surface,round,player_a,player_b,player_a_rank,player_b_rank,diff_rank,player_a_odds,player_b_odds,player_a_implied_prob,player_b_implied_prob,diff_implied_prob,player_a_matches_before,player_b_matches_before,player_a_win_rate_l5,player_b_win_rate_l5,diff_win_rate_l5,player_a_win_rate_all,player_b_win_rate_all,diff_win_rate_all,player_a_streak,player_b_streak,diff_streak,TARGET_player_a_win
ATP-2023-0311-281,2023-06-19,nan,ATP,Queen's Club,Grass,R32,Botic Van De Zandschulp,Frances Tiafoe,41.0,10.0,-31.0,,,,,,4.0,0.0,0.75,,,0.75,,,-1.0,0.0,-1.0,0
ATP-2023-0311-282,2023-06-19,nan,ATP,Queen's Club,Grass,R32,Tommy Paul,Francisco Cerundolo,15.0,19.0,4.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0
ATP-2023-0311-283,2023-06-19,nan,ATP,Queen's Club,Grass,R32,Grigor Dimitrov,Emil Ruusuvuori,26.0,44.0,18.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1
ATP-2023-0311-284,2023-06-19,nan,ATP,Queen's Club,Grass,R32,Alejandro Davidovich Fokina,Jiri Lehecka,33.0,36.0,3.0,,,,,,0.0,2.0,,0.5,,,0.5,,0.0,-1.0,1.0,0
ATP-2023-0311-285,2023-06-19,nan,ATP,Queen's Club,Grass,R32,Arthur Rinderknech,Carlos Alcaraz,83.0,2.0,-81.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0
ATP-2023-0311-286,2023-06-19,nan,ATP,Queen's Club,Grass,R16,Holger Rune,Ryan Peniston,6.0,265.0,259.0,,,,,,5.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,4.0,1
ATP-2023-0311-287,2023-06-19,nan,ATP,Queen's Club,Grass,R16,Lorenzo Musetti,Ben Shelton,16.0,35.0,19.0,,,,,,1.0,3.0,1.0,0.6666666666666666,0.33333333333333337,1.0,0.6666666666666666,0.33333333333333337,1.0,1.0,0.0,1
ATP-2023-0311-288,2023-06-19,nan,ATP,Queen's Club,Grass,R16,Adrian Mannarino,Taylor Fritz,46.0,8.0,-38.0,,,,,,2.0,4.0,0.5,0.75,-0.25,0.5,0.75,-0.25,1.0,1.0,0.0,1
ATP-2023-0311-289,2023-06-19,nan,ATP,Queen's Club,Grass,R16,Diego Schwartzman,Alex De Minaur,107.0,18.0,-89.0,,,,,,2.0,1.0,0.5,1.0,-0.5,0.5,1.0,-0.5,1.0,1.0,0.0,0
ATP-2023-0311-290,2023-06-19,nan,ATP,Queen's Club,Grass,R16,Jordan Thompson,Cameron Norrie,76.0,13.0,-63.0,,,,,,2.0,5.0,0.5,0.8,-0.30000000000000004,0.5,0.8,-0.30000000000000004,1.0,1.0,0.0,0
ATP-2023-0311-291,2023-06-19,nan,ATP,Queen's Club,Grass,R16,Frances Tiafoe,Sebastian Korda,10.0,32.0,22.0,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0
