threshold,market_threshold,market_tiebreak_band,train_acc,valid_acc,full_acc
0.515,0.515,0.12,0.6287292817679558,0.7665198237885462,0.6563604240282686
0.515,0.52,0.09,0.6287292817679558,0.7665198237885462,0.6563604240282686
0.515,0.52,0.1,0.6287292817679558,0.7665198237885462,0.6563604240282686
0.515,0.52,0.11,0.6287292817679558,0.7665198237885462,0.6563604240282686
0.515,0.52,0.12,0.6287292817679558,0.7665198237885462,0.6563604240282686
0.515,0.525,0.09,0.6287292817679558,0.7665198237885462,0.6563604240282686
0.515,0.525,0.1,0.6287292817679558,0.7665198237885462,0.6563604240282686
0.515,0.525,0.11,0.6287292817679558,0.7665198237885462,0.6563604240282686
0.515,0.525,0.12,0.6287292817679558,0.7665198237885462,0.6563604240282686
0.515,0.53,0.09,0.6287292817679558,0.7665198237885462,0.6563604240282686
0.515,0.53,0.1,0.6287292817679558,0.7665198237885462,0.6563604240282686
0.515,0.53,0.11,0.6287292817679558,0.7665198237885462,0.6563604240282686
0.515,0.53,0.12,0.6287292817679558,0.7665198237885462,0.6563604240282686
0.5,0.495,0.11,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.5,0.11,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.5,0.12,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.505,0.1,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.505,0.11,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.505,0.12,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.51,0.1,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.51,0.11,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.51,0.12,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.515,0.09,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.515,0.1,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.515,0.11,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.515,0.12,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.52,0.09,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.52,0.1,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.52,0.11,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.52,0.12,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.525,0.09,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.525,0.1,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.525,0.11,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.525,0.12,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.53,0.09,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.53,0.1,0.625414364640884,0.7665198237885462,0.6537102473498233
