game_id,date,time,season,home_team,away_team,home_score,away_score,home_p1_goals,away_p1_goals,total_p1_goals,total_goals,is_draw,completed,venue_name,odds_over_under,odds_details,home_moneyline_odds,away_moneyline_odds,closing_moneyline_odds,closing_spread_odds,closing_total_odds,odds_data_quality,home_goalie_name,away_goalie_name,home_goalie_id,away_goalie_id,home_goalie_confirmed,away_goalie_confirmed,home_goalie_found,away_goalie_found,goalie_data_quality
401803032,2026-01-07,22:30,2026,LAK,SJS,3,4,0,0,0,7,0,1,crypto.com Arena,6.5,LA -230,-230.0,190.0,-230.0,114.0,105.0,real,Darcy Kuemper,Yaroslav Askarov,2610321,4697394,0,0,1,1,found_both
401803033,2026-01-08,19:00,2026,BOS,CGY,4,1,2,0,2,5,0,1,TD Garden,6.5,BOS -130,-130.0,110.0,-130.0,180.0,-112.0,real,Joonas Korpisalo,Dustin Wolf,3069266,4587952,0,0,1,1,found_both
401803034,2026-01-08,19:00,2026,MTL,FLA,6,2,2,0,2,8,0,1,Bell Centre,6.5,FLA -112,-108.0,-112.0,-112.0,-265.0,114.0,real,Sam Montembeault,Sergei Bobrovsky,3942714,5571,0,0,1,1,found_both
401803035,2026-01-08,19:00,2026,DET,VAN,5,1,1,0,1,6,0,1,Little Caesars Arena,6.5,DET -148,-148.0,124.0,-148.0,180.0,102.0,real,John Gibson,Kevin Lankinen,2590824,4341584,0,0,1,1,found_both
401803036,2026-01-08,19:00,2026,NYR,BUF,2,5,0,1,1,7,0,1,Madison Square Garden,6.5,BUF -125,105.0,-125.0,-125.0,-245.0,110.0,real,Jonathan Quick,Colten Ellis,3634,4736758,0,0,1,1,found_both
401803037,2026-01-08,19:00,2026,PHI,TOR,1,2,0,0,0,3,0,1,Xfinity Mobile Arena,5.5,PHI -122,-122.0,102.0,-122.0,195.0,-135.0,real,Dan Vladar,Dennis Hildeby,3942459,5174160,0,0,1,1,found_both
401803038,2026-01-08,19:00,2026,PIT,NJD,4,1,1,0,1,5,0,1,PPG Paints Arena,6.5,PIT -105,-105.0,-115.0,-115.0,220.0,-102.0,real,Stuart Skinner,Jake Allen,4268767,5111,0,0,1,1,found_both
401803039,2026-01-08,19:00,2026,CAR,ANA,5,2,0,1,1,7,0,1,Lenovo Center,6.5,CAR -230,-230.0,190.0,-230.0,110.0,-112.0,real,Frederik Andersen,Ville Husso,2517899,3151137,0,0,1,1,found_both
401803040,2026-01-08,20:00,2026,NSH,NYI,2,1,0,0,0,3,0,1,Bridgestone Arena,5.5,NSH -142,-142.0,120.0,-142.0,190.0,-125.0,real,Juuse Saros,David Rittich,3042109,4063288,0,0,1,1,found_both
401803041,2026-01-08,20:00,2026,WPG,EDM,3,4,3,1,4,7,0,1,Canada Life Centre,6.5,EDM -115,-105.0,-115.0,-115.0,-265.0,110.0,real,Connor Hellebuyck,Calvin Pickard,3020225,5524,0,0,1,1,found_both
