game_id,date,home_team,away_team,both_pitchers_available,home_pitcher_quality_start_rate_L10,away_pitcher_quality_start_rate_L10,diff_pitcher_quality_start_rate_L10,home_pitcher_blowup_rate_L10,away_pitcher_blowup_rate_L10,diff_pitcher_blowup_rate_L10,home_pitcher_era_trend,away_pitcher_era_trend,diff_pitcher_era_trend,home_pitcher_whip_trend,away_pitcher_whip_trend,diff_pitcher_whip_trend,home_pitcher_recent_quality_score,away_pitcher_recent_quality_score,diff_pitcher_recent_quality_score,market_key,split_id,ensemble_prob_raw,ensemble_prob_calibrated,pred_label,confidence,threshold,used_fallback,prob_shrink,publish_pick,publish_threshold_effective,missing_pitchers_rate_test_split,y_true,confidence_bucket
401695186,2025-04-17,TB,NYY,1,0.3,0.2,0.0999999999999999,0.3,0.4,-0.1,1.7047679170923944,1.36456881533101,0.3401991017613843,-0.2178192616997172,0.3831954123112659,-0.6010146740109832,-2.344615384615384,-3.002802942315138,0.6581875576997538,full_game,22,0.569183304309845,0.6178991800466471,1,0.6178991800466471,0.61,0,0.0,0,0.612,0.0,0,0.60-0.65
401695187,2025-04-17,CIN,SEA,1,0.3,0.2,0.0999999999999999,0.2,0.1,0.1,6.334333958724203,1.6189285714285706,4.7154053872956325,0.3173295809881176,0.1334126984126986,0.1839168825754189,-5.779999999999999,-3.253015873015872,-2.5269841269841278,full_game,22,0.6510875903851765,0.6305702292673167,1,0.6305702292673167,0.61,0,0.0,1,0.618,0.0,0,0.60-0.65
401695188,2025-04-17,PHI,SF,1,0.2,0.5,-0.3,0.3,0.2,0.0999999999999999,3.36981152993348,-0.3338561438561447,3.703667673789624,0.4042325695984234,-0.4215884115884114,0.8258209811868349,-4.3244444444444445,-1.6666666666666663,-2.6577777777777785,full_game,22,0.4939503812789917,0.6061167504172487,1,0.6061167504172487,0.61,0,0.0,0,0.618,0.0,1,0.60-0.65
401695189,2025-04-17,NYM,STL,1,0.4,0.4,0.0,0.1,0.3,-0.1999999999999999,-1.143310104529617,3.568286713286712,-4.7115968178163286,-0.2879771739537674,0.6196153846153849,-0.9075925585691524,-0.1519354838709676,-6.429408369408369,6.277472885537402,full_game,22,0.6227791452407837,0.6262100786772593,1,0.6262100786772593,0.61,0,0.0,1,0.61,0.0,1,0.60-0.65
401695190,2025-04-17,PIT,WSH,1,0.4,0.4,0.0,0.6,0.3,0.3,-3.858976145805413,-0.8704945054945048,-2.9884816403109085,-0.4247297418029125,-0.0110989010989013,-0.4136308407040112,-1.4050641025641024,-2.918888888888889,1.513824786324787,full_game,22,0.47334697961064154,0.6028677074858418,1,0.6028677074858418,0.61,0,0.0,0,0.61,0.0,1,0.60-0.65
401695191,2025-04-17,TEX,LAA,1,0.6,0.5,0.0999999999999999,0.2,0.1,0.1,-8.697226890756303,2.9368894009216597,-11.634116291677962,-1.142016806722689,0.36110599078341,-1.503122797506099,0.5371428571428571,-2.400833333333334,2.937976190476191,full_game,22,0.5131678128242493,0.6091388044709587,1,0.6091388044709587,0.61,0,0.0,0,0.61,0.0,1,0.60-0.65
401695192,2025-04-17,CHW,ATH,1,0.5,0.3,0.2,0.1,0.1,0.0,1.3604878048780489,0.9055882352941178,0.4548995695839308,0.3493224932249323,0.2539215686274509,0.0954009245974814,-1.2527777777777778,-2.2798039215686274,1.0270261437908497,full_game,22,0.44611154437065126,0.5985589128020767,1,0.5985589128020767,0.61,0,0.0,0,0.614,0.0,0,0.56-0.60
401695276,2025-04-24,WSH,BAL,1,0.6,0.4,0.1999999999999999,0.1,0.3,-0.1999999999999999,3.054918032786885,-0.5875824175824174,3.6425004503693024,0.668326904532305,-0.1287144038756942,0.7970413084079992,-3.2519444444444443,0.1125806451612906,-3.364525089605735,full_game,23,0.5045930988437747,0.6273453221861994,1,0.6273453221861994,0.65,0,0.0,0,0.663,0.0,0,0.60-0.65
401695277,2025-04-24,BOS,SEA,1,0.4,0.3,0.1,0.0,0.3,-0.3,1.2249999999999996,1.1701564307863197,0.0548435692136801,-0.4292483660130721,0.2752436416475849,-0.7044920076606571,-0.7074556489262369,-2.1024741724646856,1.395018523538449,full_game,23,0.31012662376098205,0.6017525757197537,1,0.6017525757197537,0.65,0,0.0,0,0.65,0.0,0,0.60-0.65
401695278,2025-04-24,MIN,CHW,1,0.3,0.375,-0.075,0.3,0.125,0.175,6.235069124423964,-4.048415492957746,10.28348461738171,1.3863501373178793,-0.2954812206572771,1.6818313579751565,-6.329444444444445,0.7617175273865414,-7.091161971830987,full_game,23,0.801380807336997,0.6650276527749018,1,0.6650276527749018,0.65,0,0.0,1,0.663,0.0,0,0.65+
