game_id,date,season,home_team,away_team,home_ppg_l5,away_ppg_l5,diff_ppg_l5,home_gf_l5,away_gf_l5,diff_gf_l5,home_gd_l5,away_gd_l5,diff_gd_l5,home_goals_total_l5,away_goals_total_l5,combined_goals_l5,home_momentum,away_momentum,diff_momentum,home_consistency,away_consistency,diff_consistency,home_form_l10,away_form_l10,diff_form_l10,home_form_l3,away_form_l3,diff_form_l3,home_ppg_l15,away_ppg_l15,diff_ppg_l15,home_gf_l10,away_gf_l10,diff_gf_l10,home_ga_l10,away_ga_l10,diff_ga_l10,home_gf_volatility,away_gf_volatility,home_ga_volatility,away_ga_volatility,home_early_scoring,away_early_scoring,home_late_scoring,away_late_scoring,h2h_home_wins,h2h_draws,h2h_home_losses,h2h_home_gf,h2h_home_ga,h2h_home_gd,home_score,away_score,is_draw,total_goals,TARGET_full_game,TARGET_over_25,TARGET_btts
725074,2025-01-29,2025,ATS,MTY,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0.0,1.6666666666666667,3.0,4.666666666666667,0.6666666666666666,0.5555555555555556,0.11111111111111105,0.8075499102701247,0.8075499102701247,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,-0.6666666666666666,1.0,1.6666666666666667,-0.6666666666666667,0.5773502691896258,0.5773502691896257,1.0,1.1547005383792517,0.19999999999999998,0.19999999999999998,0.13333333333333333,0.13333333333333333,0,0,0,0.0,0.0,0.0,3,3,1,6,2,1,1
725075,2025-01-29,2025,QRO,PAC,1.0,3.0,-2.0,1.3333333333333333,2.5,-1.1666666666666667,-0.3333333333333333,1.0,-1.3333333333333333,3.0,4.0,7.0,1.0,3.0,-2.0,0.42264973081037427,1.0,-0.5773502691896257,3.0,6.0,-3.0,3.0,6.0,-3.0,1.0,3.0,-2.0,1.3333333333333333,2.5,-1.1666666666666667,1.6666666666666667,1.5,0.16666666666666674,1.5275252316519465,0.7071067811865476,0.5773502691896257,0.7071067811865476,0.39999999999999997,0.6,0.26666666666666666,0.4,0,0,0,0.0,0.0,0.0,0,1,0,1,0,0,0
725076,2025-01-29,2025,PUM,TOL,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,2.0,-0.6666666666666667,0.0,0.3333333333333333,-0.3333333333333333,2.6666666666666665,3.6666666666666665,6.333333333333333,1.1111111111111112,1.0,0.11111111111111116,0.4908249227826845,0.4908249227826844,1.1102230246251565e-16,4.0,4.0,0.0,4.0,4.0,0.0,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,2.0,-0.6666666666666667,1.3333333333333333,1.6666666666666667,-0.3333333333333335,1.1547005383792517,1.7320508075688772,1.5275252316519468,0.5773502691896257,0.39999999999999997,0.39999999999999997,0.26666666666666666,0.26666666666666666,0,0,0,0.0,0.0,0.0,1,1,1,2,2,0,1
725077,2025-01-29,2025,JUA,SAN,1.3333333333333333,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,-1.6666666666666667,1.6666666666666667,1.3333333333333333,3.0,4.333333333333333,1.2222222222222223,0.0,1.2222222222222223,0.4908249227826844,1.0,-0.5091750772173156,4.0,0.0,4.0,4.0,0.0,4.0,1.3333333333333333,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,2.3333333333333335,-1.666666666666667,0.5773502691896258,0.5773502691896258,0.5773502691896258,1.5275252316519465,0.0,0.39999999999999997,0.0,0.26666666666666666,0,0,0,0.0,0.0,0.0,1,0,0,1,1,0,0
725078,2025-01-31,2025,MAZ,LEO,1.75,3.0,-1.25,1.25,1.6666666666666667,-0.41666666666666674,0.25,1.0,-0.75,2.25,2.3333333333333335,4.583333333333334,2.0,3.0,-1.0,0.5,1.0,-0.5,7.0,9.0,-2.0,6.0,9.0,-3.0,1.75,3.0,-1.25,1.25,1.6666666666666667,-0.41666666666666674,1.0,0.6666666666666666,0.33333333333333337,0.5,0.5773502691896257,0.816496580927726,0.5773502691896258,0.3,0.39999999999999997,0.2,0.26666666666666666,0,0,0,0.0,0.0,0.0,1,2,0,3,0,1,1
725079,2025-01-31,2025,TIJ,CAZ,1.0,1.25,-0.25,1.25,1.25,0.0,-1.25,0.25,-1.5,3.75,2.25,6.0,1.0555555555555556,1.4444444444444444,-0.38888888888888884,0.5285954792089682,0.5805647535960694,-0.051969274387101194,4.0,5.0,-1.0,4.0,4.0,0.0,1.0,1.25,-0.25,1.25,1.25,0.0,2.5,1.0,1.5,0.9574271077563381,1.2583057392117916,1.7320508075688772,0.0,0.44999999999999996,0.15,0.30000000000000004,0.1,0,0,0,0.0,0.0,0.0,2,3,0,5,0,1,1
725080,2025-02-01,2025,AME,JUA,2.5,1.75,0.75,2.25,0.75,1.5,1.75,0.25,1.5,2.75,1.25,4.0,2.5555555555555554,1.8333333333333333,0.7222222222222221,0.6666666666666667,0.5,0.16666666666666674,10.0,7.0,3.0,7.0,6.0,1.0,2.5,1.75,0.75,2.25,0.75,1.5,0.5,0.5,0.0,1.5,0.5,0.5773502691896257,0.5773502691896257,0.3,0.0,0.2,0.0,0,0,0,0.0,0.0,0.0,4,0,0,4,1,1,0
725081,2025-02-01,2025,GDL,QRO,1.0,0.75,0.25,1.25,1.0,0.25,-0.25,-0.5,0.25,2.75,2.5,5.25,0.7777777777777777,0.6666666666666666,0.11111111111111105,0.5285954792089682,0.5,0.02859547920896821,4.0,3.0,1.0,1.0,3.0,-2.0,1.0,0.75,0.25,1.25,1.0,0.25,1.5,1.5,0.0,0.5,1.4142135623730951,1.2909944487358056,0.5773502691896257,0.3,0.3,0.2,0.2,0,0,0,0.0,0.0,0.0,1,1,1,2,2,0,1
725082,2025-02-01,2025,MTY,NEC,0.75,1.5,-0.75,1.75,2.0,-0.25,-0.25,0.25,-0.5,3.75,3.75,7.5,0.7222222222222222,1.5,-0.7777777777777778,0.8333333333333334,0.42264973081037427,0.4106836025229591,3.0,6.0,-3.0,2.0,6.0,-4.0,0.75,1.5,-0.75,1.75,2.0,-0.25,2.0,1.75,0.25,0.9574271077563381,1.1547005383792515,1.1547005383792515,1.2583057392117916,0.3,0.6,0.2,0.4,0,0,0,0.0,0.0,0.0,1,0,0,1,1,0,0
725083,2025-02-01,2025,PAC,ATS,3.0,0.75,2.25,2.0,1.25,0.75,1.0,-0.25,1.25,3.0,2.75,5.75,3.0,0.7777777777777777,2.2222222222222223,1.0,0.8333333333333334,0.16666666666666663,9.0,3.0,6.0,9.0,2.0,7.0,3.0,0.75,2.25,2.0,1.25,0.75,1.0,1.5,-0.5,1.0,1.2583057392117916,1.0,1.2909944487358056,0.39999999999999997,0.3,0.26666666666666666,0.2,0,0,0,0.0,0.0,0.0,0,0,1,0,2,0,0
725084,2025-02-01,2025,TOL,UANL,1.25,2.5,-1.25,1.75,2.5,-0.75,0.25,1.75,-1.5,3.25,3.25,6.5,1.0555555555555556,2.444444444444444,-1.3888888888888886,0.5805647535960694,0.6666666666666667,-0.08610191307059734,5.0,10.0,-5.0,2.0,7.0,-5.0,1.25,2.5,-1.25,1.75,2.5,-0.75,1.5,0.75,0.75,1.5,1.2909944487358056,0.5773502691896257,0.5,0.3,0.44999999999999996,0.2,0.30000000000000004,0,0,0,0.0,0.0,0.0,1,0,0,1,1,0,0
725085,2025-02-02,2025,SAN,PUE,0.0,0.5,-0.5,0.5,0.75,-0.25,-1.5,-0.5,-1.0,2.5,2.0,4.5,0.0,0.4444444444444444,-0.4444444444444444,1.0,0.8075499102701248,0.1924500897298752,0.0,2.0,-2.0,0.0,1.0,-1.0,0.0,0.5,-0.5,0.5,0.75,-0.25,2.0,1.25,0.75,0.5773502691896257,0.5,1.4142135623730951,0.5,0.3,0.15,0.2,0.1,0,0,0,0.0,0.0,0.0,0,2,0,2,0,0,0
725086,2025-02-02,2025,ASL,PUM,0.75,1.25,-0.5,0.75,1.25,-0.5,-1.75,0.0,-1.75,3.25,2.5,5.75,0.6666666666666666,1.111111111111111,-0.4444444444444443,0.5,0.5805647535960694,-0.0805647535960694,3.0,5.0,-2.0,3.0,2.0,1.0,0.75,1.25,-0.5,0.75,1.25,-0.5,2.5,1.25,1.25,0.9574271077563381,0.9574271077563381,1.0,1.2583057392117916,0.6,0.3,0.4,0.2,0,0,0,0.0,0.0,0.0,2,3,0,5,0,1,1
725087,2025-02-05,2025,PAC,LEO,2.5,3.0,-0.5,1.5,1.75,-0.25,0.75,1.0,-0.25,2.25,2.5,4.75,2.3333333333333335,3.0,-0.6666666666666665,0.6666666666666667,1.0,-0.33333333333333326,10.0,12.0,-2.0,7.0,9.0,-2.0,2.5,3.0,-0.5,1.5,1.75,-0.25,0.75,0.75,0.0,1.2909944487358056,0.5,0.9574271077563381,0.5,0.3,0.44999999999999996,0.2,0.30000000000000004,0,0,0,0.0,0.0,0.0,1,2,0,3,0,1,1
725088,2025-02-07,2025,QRO,ASL,0.8,0.6,0.20000000000000007,1.0,1.0,0.0,-0.4,-1.6,1.2000000000000002,2.4,3.6,6.0,0.7666666666666667,0.5,0.2666666666666667,0.5653865063198233,0.5527864045000421,0.012600101819781218,4.0,3.0,1.0,1.0,0.0,1.0,0.8,0.6,0.20000000000000007,1.0,1.0,0.0,1.4,2.6,-1.2000000000000002,1.224744871391589,1.0,0.5477225575051661,0.8944271909999161,0.24,0.6,0.16000000000000003,0.4,0,0,0,0.0,0.0,0.0,1,0,0,1,1,0,0
725089,2025-02-07,2025,PUE,AME,1.0,2.6,-1.6,1.0,2.6,-1.6,0.0,2.2,-2.2,2.0,3.0,5.0,1.1333333333333333,2.6666666666666665,-1.5333333333333332,0.5917517095361371,0.701857603000028,-0.11010589346389088,5.0,13.0,-8.0,4.0,9.0,-5.0,1.0,2.6,-1.6,1.0,2.6,-1.6,1.0,0.4,0.6,0.7071067811865476,1.5165750888103102,0.7071067811865476,0.5477225575051662,0.12,0.36,0.08000000000000002,0.24,0,0,0,0.0,0.0,0.0,1,2,0,3,0,1,1
725090,2025-02-07,2025,NEC,SAN,1.2,0.0,1.2,1.6,0.4,1.2000000000000002,0.0,-1.6,1.6,3.2,2.4,5.6,1.1,0.0,1.1,0.4522774424948339,1.0,-0.5477225575051661,6.0,0.0,6.0,3.0,0.0,3.0,1.2,0.0,1.2,1.6,0.4,1.2000000000000002,1.6,2.0,-0.3999999999999999,1.3416407864998738,0.5477225575051662,1.140175425099138,1.224744871391589,0.48,0.24,0.32000000000000006,0.16000000000000003,0,0,0,0.0,0.0,0.0,3,2,0,5,1,1,1
725091,2025-02-08,2025,LEO,TOL,3.0,1.6,1.4,1.8,1.6,0.19999999999999996,1.0,0.4,0.6,2.6,2.8,5.4,3.0,1.6,1.4,1.0,0.5527864045000421,0.44721359549995787,15.0,8.0,7.0,9.0,4.0,5.0,3.0,1.6,1.4,1.8,1.6,0.19999999999999996,0.8,1.2,-0.3999999999999999,0.44721359549995804,1.3416407864998738,0.44721359549995804,0.8366600265340756,0.48,0.24,0.32000000000000006,0.16000000000000003,0,0,0,0.0,0.0,0.0,3,3,1,6,2,1,1
725092,2025-02-08,2025,UANL,ATS,2.0,0.8,1.2,2.0,1.0,1.0,1.2,-0.2,1.4,2.8,2.2,5.0,1.8,0.8333333333333334,0.9666666666666667,0.5285954792089682,0.850928801500014,-0.32233332229104583,10.0,4.0,6.0,4.0,3.0,1.0,2.0,0.8,1.2,2.0,1.0,1.0,0.8,1.2,-0.3999999999999999,1.5811388300841898,1.224744871391589,0.4472135954999579,1.3038404810405297,0.36,0.24,0.24,0.16000000000000003,0,0,0,0.0,0.0,0.0,2,1,0,3,1,1,1
725093,2025-02-08,2025,CAZ,PAC,1.6,2.0,-0.3999999999999999,1.6,1.4,0.20000000000000018,0.4,0.4,0.0,2.8,2.4,5.199999999999999,1.8333333333333333,1.7333333333333334,0.09999999999999987,0.5527864045000421,0.5285954792089682,0.024190925291073917,8.0,10.0,-2.0,7.0,4.0,3.0,1.6,2.0,-0.3999999999999999,1.6,1.4,0.20000000000000018,1.2,1.0,0.19999999999999996,1.3416407864998738,1.140175425099138,0.4472135954999579,1.0,0.24,0.36,0.16000000000000003,0.24,0,0,0,0.0,0.0,0.0,2,1,0,3,1,1,1
725094,2025-02-08,2025,JUA,MTY,1.4,1.2,0.19999999999999996,0.6,1.6,-1.0,-0.6,0.0,-0.6,1.8,3.2,5.0,1.3333333333333333,1.3333333333333333,0.0,0.4944749703965633,0.6348516283298893,-0.140376657933326,7.0,6.0,1.0,3.0,4.0,-1.0,1.4,1.2,0.19999999999999996,0.6,1.6,-1.0,1.2,1.6,-0.40000000000000013,0.5477225575051662,0.8944271909999159,1.6431676725154982,1.3416407864998738,0.12,0.24,0.08000000000000002,0.16000000000000003,0,0,0,0.0,0.0,0.0,2,1,0,3,1,1,1
725095,2025-02-09,2025,PUM,MAZ,1.6,1.4,0.20000000000000018,1.6,1.2,0.40000000000000013,0.2,0.0,0.2,3.0,2.4,5.4,1.6333333333333333,1.4333333333333333,0.19999999999999996,0.5527864045000421,0.4944749703965633,0.05831143410347883,8.0,7.0,1.0,5.0,6.0,-1.0,1.6,1.4,0.20000000000000018,1.6,1.2,0.40000000000000013,1.4,1.2,0.19999999999999996,1.140175425099138,0.4472135954999579,1.140175425099138,0.8366600265340756,0.36,0.36,0.24,0.24,0,0,0,0.0,0.0,0.0,1,0,0,1,1,0,0
725096,2025-02-09,2025,GDL,TIJ,1.0,0.8,0.19999999999999996,1.2,1.4,-0.19999999999999996,-0.2,-1.2,1.0,2.6,4.0,6.6,0.8666666666666667,0.7666666666666667,0.09999999999999998,0.5917517095361371,0.5653865063198233,0.02636520321631375,5.0,4.0,1.0,2.0,3.0,-1.0,1.0,0.8,0.19999999999999996,1.2,1.4,-0.19999999999999996,1.4,2.6,-1.2000000000000002,0.44721359549995804,0.8944271909999159,1.140175425099138,1.5165750888103102,0.24,0.48,0.16000000000000003,0.32000000000000006,0,0,0,0.0,0.0,0.0,2,1,0,3,1,1,1
725097,2025-02-14,2025,MAZ,SAN,1.2,0.0,1.2,1.0,0.8,0.19999999999999996,-0.2,-1.6,1.4000000000000001,2.2,3.2,5.4,1.1,0.0,1.1,0.5093466185373419,1.0,-0.49065338146265813,7.0,0.0,7.0,3.0,0.0,3.0,1.1666666666666667,0.0,1.1666666666666667,1.0,0.6666666666666666,0.33333333333333337,1.1666666666666667,2.1666666666666665,-0.9999999999999998,0.6324555320336759,0.816496580927726,0.752772652709081,1.1690451944500122,0.3,0.3,0.2,0.2,0,0,0,0.0,0.0,0.0,1,1,1,2,2,0,1
