sport,date,game_id,closing_moneyline_odds,home_moneyline_odds,away_moneyline_odds,closing_spread_odds,closing_total_odds,closing_q1_odds,closing_f5_odds,closing_home_over_odds,closing_corners_odds,closing_btts_odds,closing_spread_line,closing_total_line,odds_over_under,odds_source_provider,draw_moneyline_odds
mlb,2026-03-22,401833316,-143.0,-143.0,120.0,,,,,,,,,,,,
mlb,2026-03-22,401833317,-182.0,-182.0,150.0,,,,,,,,,,,,
mlb,2026-03-22,401833318,-133.0,-133.0,110.0,,,,,,,,,,,,
nba,2026-03-22,401810887,-347.0,-347.0,294.0,-105.0,-115.0,,,,,,-8.5,238.5,238.5,,
nba,2026-03-22,401810888,-239.0,-239.0,210.0,-105.5,-110.0,,,,,,-6.5,218.5,218.5,,
nba,2026-03-22,401810889,-3539.0,-3539.0,1871.0,-105.0,-110.0,,,,,,-20.5,228.5,228.5,,
nba,2026-03-22,401810890,-400.0,-400.0,320.0,,-108.0,,,,,,-9.5,221.5,221.5,,
nba,2026-03-22,401810891,-161.0,135.0,-161.0,,-110.0,,,,,,3.5,219.5,219.5,,
ncaa_baseball,2026-03-22,6540365,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6540416,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6540468,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6540522,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6540586,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6540686,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6540741,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6540795,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6540845,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6540901,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6540945,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6540992,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541064,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541088,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541104,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541208,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541246,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541285,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541288,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541369,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541453,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541489,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541540,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541594,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541622,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541687,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541725,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541756,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541819,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541875,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541894,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6541950,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6542044,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6542048,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6542131,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6542207,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6542237,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6542308,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6542355,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6542449,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6542507,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6542649,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6542724,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6542765,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6542927,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6543013,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6543113,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6543367,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6543491,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6543620,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6543750,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6543846,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6543923,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6543990,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6544258,,,,,,,,,,,,,,,
